Order,Latitude,Longitude,Unused,Altitude,Days,Date,Time
0,39.999886,116.32743700000002,0,125,39922.7465856481,2009-04-19,17:55:05
1,39.999881,116.327404,0,120,39922.7466435185,2009-04-19,17:55:10
2,39.999887,116.327418,0,115,39922.7467013889,2009-04-19,17:55:15
3,39.999888,116.327478,0,120,39922.7467592593,2009-04-19,17:55:20
4,39.999915,116.32748899999999,0,110,39922.7468171296,2009-04-19,17:55:25
5,39.999879,116.32734099999999,0,96,39922.746875,2009-04-19,17:55:30
6,39.999882,116.327353,0,93,39922.7469328704,2009-04-19,17:55:35
7,39.999939000000005,116.327399,0,92,39922.7469907407,2009-04-19,17:55:40
8,39.999969,116.327402,0,92,39922.7470486111,2009-04-19,17:55:45
9,39.999927,116.32730500000001,0,96,39922.747106481496,2009-04-19,17:55:50
10,39.999912,116.32728,0,90,39922.7471643519,2009-04-19,17:55:55
11,39.999909,116.32716200000002,0,83,39922.7472222222,2009-04-19,17:56:00
12,39.999893,116.327022,0,76,39922.7472800926,2009-04-19,17:56:05
13,39.999906,116.32688999999999,0,69,39922.747337962996,2009-04-19,17:56:10
14,39.999893,116.326729,0,57,39922.7473958333,2009-04-19,17:56:15
15,39.999881,116.32661499999999,0,54,39922.7474537037,2009-04-19,17:56:20
16,39.99989,116.32650100000001,0,47,39922.7475115741,2009-04-19,17:56:25
17,39.99987,116.326357,0,44,39922.7475694444,2009-04-19,17:56:30
18,39.999868,116.32621100000001,0,42,39922.7476273148,2009-04-19,17:56:35
19,39.999866,116.32606299999999,0,41,39922.7476851852,2009-04-19,17:56:40
20,39.999857,116.3259,0,41,39922.7477430556,2009-04-19,17:56:45
21,39.999871,116.32576999999999,0,39,39922.7478009259,2009-04-19,17:56:50
22,39.999855,116.325616,0,37,39922.7478587963,2009-04-19,17:56:55
23,39.999845,116.32548600000001,0,34,39922.747916666696,2009-04-19,17:57:00
24,39.999834,116.32533600000001,0,28,39922.747974537,2009-04-19,17:57:05
25,39.999846000000005,116.325217,0,24,39922.748032407406,2009-04-19,17:57:10
26,39.999839,116.325096,0,12,39922.7480902778,2009-04-19,17:57:15
27,39.999813,116.32498600000001,0,10,39922.7481481481,2009-04-19,17:57:20
28,39.999794,116.32489,0,1,39922.7482060185,2009-04-19,17:57:25
29,39.999788,116.324795,0,-11,39922.7482638889,2009-04-19,17:57:30
30,39.999773,116.324649,0,-24,39922.7483217593,2009-04-19,17:57:35
31,39.999875,116.32437,0,-21,39922.7483796296,2009-04-19,17:57:40
32,39.999883000000004,116.324196,0,-15,39922.7484375,2009-04-19,17:57:45
33,39.999868,116.32403500000001,0,-14,39922.7484953704,2009-04-19,17:57:50
34,39.999865,116.323917,0,-11,39922.7485532407,2009-04-19,17:57:55
35,39.999895,116.323774,0,-12,39922.7486111111,2009-04-19,17:58:00
36,39.999896,116.323576,0,-15,39922.7486689815,2009-04-19,17:58:05
37,39.99989,116.323429,0,-18,39922.748726851896,2009-04-19,17:58:10
38,39.99987,116.323264,0,-24,39922.7487847222,2009-04-19,17:58:15
39,39.999899,116.323145,0,-27,39922.7488425926,2009-04-19,17:58:20
40,39.999893,116.32301000000001,0,-32,39922.748900463,2009-04-19,17:58:25
41,39.999895,116.322799,0,-17,39922.7489583333,2009-04-19,17:58:30
42,39.999891,116.32265600000001,0,-26,39922.7490162037,2009-04-19,17:58:35
43,39.999937,116.32246200000002,0,-23,39922.749074074105,2009-04-19,17:58:40
44,39.999965,116.32229199999999,0,-20,39922.7491319444,2009-04-19,17:58:45
45,40.000088,116.322224,0,-24,39922.7491898148,2009-04-19,17:58:50
46,40.000209999999996,116.322197,0,-34,39922.7492476852,2009-04-19,17:58:55
47,40.000279,116.322204,0,-47,39922.749305555604,2009-04-19,17:59:00
48,40.000312,116.32223700000002,0,-61,39922.7493634259,2009-04-19,17:59:05
49,40.00038,116.322253,0,-69,39922.7494212963,2009-04-19,17:59:10
50,40.000454,116.322271,0,-76,39922.7494791667,2009-04-19,17:59:15
51,40.000547,116.32226499999999,0,-82,39922.749537037,2009-04-19,17:59:20
52,40.000701,116.322258,0,-94,39922.7495949074,2009-04-19,17:59:25
53,40.000796,116.32226499999999,0,-100,39922.7496527778,2009-04-19,17:59:30
54,40.000879,116.32226599999998,0,-104,39922.7497106481,2009-04-19,17:59:35
55,40.001022999999996,116.322268,0,-113,39922.7497685185,2009-04-19,17:59:40
56,40.001166,116.32225700000001,0,-108,39922.7498263889,2009-04-19,17:59:45
57,40.001428999999995,116.32221499999999,0,-133,39922.749884259305,2009-04-19,17:59:50
58,40.001540999999996,116.32220900000002,0,-136,39922.7499421296,2009-04-19,17:59:55
59,40.001627,116.322231,0,-143,39922.75,2009-04-19,18:00:00
60,40.001694,116.322276,0,-148,39922.7500578704,2009-04-19,18:00:05
61,40.00178,116.32229199999999,0,-150,39922.750115740695,2009-04-19,18:00:10
62,40.001896,116.322273,0,-160,39922.7501736111,2009-04-19,18:00:15
63,40.001996999999996,116.32223,0,-183,39922.7502314815,2009-04-19,18:00:20
64,40.002134000000005,116.32221399999999,0,-186,39922.7502893518,2009-04-19,18:00:25
65,40.002278000000004,116.322217,0,-183,39922.7503472222,2009-04-19,18:00:30
66,40.002342,116.322236,0,-178,39922.7504050926,2009-04-19,18:00:35
67,40.002441,116.322224,0,-191,39922.750462963,2009-04-19,18:00:40
68,40.002528000000005,116.32224599999999,0,-196,39922.7505208333,2009-04-19,18:00:45
69,40.002731,116.322258,0,-195,39922.7505787037,2009-04-19,18:00:50
70,40.002865,116.322259,0,-192,39922.7506365741,2009-04-19,18:00:55
71,40.002953000000005,116.322274,0,-202,39922.750694444396,2009-04-19,18:01:00
72,40.003021999999994,116.322294,0,-193,39922.7507523148,2009-04-19,18:01:05
73,40.003152,116.3223,0,-193,39922.7508101852,2009-04-19,18:01:10
