Order,Latitude,Longitude,Unused,Altitude,Days,Date,Time
0,39.999941,116.327317,0,139,39952.4067361111,2009-05-19,09:45:42
1,39.999928999999995,116.327322,0,142,39952.4067939815,2009-05-19,09:45:47
2,39.999928000000004,116.32731299999999,0,141,39952.4068518518,2009-05-19,09:45:52
3,39.999913,116.327304,0,144,39952.4069097222,2009-05-19,09:45:57
4,39.99994,116.327359,0,139,39952.4069675926,2009-05-19,09:46:02
5,39.999936,116.32741000000001,0,138,39952.407025463,2009-05-19,09:46:07
6,39.999903,116.32739,0,138,39952.4070833333,2009-05-19,09:46:12
7,39.999912,116.327271,0,136,39952.4071412037,2009-05-19,09:46:17
8,39.999939000000005,116.32716200000002,0,134,39952.4071990741,2009-05-19,09:46:22
9,40.000023,116.32709799999999,0,133,39952.407256944396,2009-05-19,09:46:27
10,40.000112,116.32711100000002,0,132,39952.4073148148,2009-05-19,09:46:32
11,40.000221,116.32713000000001,0,133,39952.4073726852,2009-05-19,09:46:37
12,40.000303,116.32713999999999,0,134,39952.4074305556,2009-05-19,09:46:42
13,40.000393,116.32712099999999,0,134,39952.407488425895,2009-05-19,09:46:47
14,40.000485999999995,116.327114,0,130,39952.4075462963,2009-05-19,09:46:52
15,40.000574,116.32709399999999,0,132,39952.4076041667,2009-05-19,09:46:57
16,40.000652,116.32704199999999,0,133,39952.407662037,2009-05-19,09:47:02
17,40.000695,116.32701599999999,0,129,39952.4077199074,2009-05-19,09:47:07
18,40.00073,116.327008,0,127,39952.4077777778,2009-05-19,09:47:12
19,40.000958000000004,116.326976,0,131,39952.407835648104,2009-05-19,09:47:17
20,40.000984,116.32700600000001,0,139,39952.4078935185,2009-05-19,09:47:22
21,40.001008,116.32700700000001,0,140,39952.4079513889,2009-05-19,09:47:27
22,40.001078,116.326998,0,143,39952.4080092593,2009-05-19,09:47:32
23,40.001168,116.326972,0,140,39952.408067129596,2009-05-19,09:47:37
24,40.001245000000004,116.326876,0,142,39952.408125,2009-05-19,09:47:42
25,40.001259999999995,116.326741,0,142,39952.4081828704,2009-05-19,09:47:47
26,40.001306,116.326649,0,141,39952.4082407407,2009-05-19,09:47:52
27,40.001385,116.326645,0,141,39952.408298611095,2009-05-19,09:47:57
28,40.001481,116.32663600000001,0,134,39952.4083564815,2009-05-19,09:48:02
29,40.00159,116.326624,0,129,39952.408414351805,2009-05-19,09:48:07
30,40.001751,116.32656399999999,0,131,39952.4084722222,2009-05-19,09:48:12
31,40.001886999999996,116.32653700000002,0,133,39952.408530092594,2009-05-19,09:48:17
32,40.00199,116.326517,0,136,39952.408587963,2009-05-19,09:48:22
33,40.002117999999996,116.326499,0,137,39952.408645833304,2009-05-19,09:48:27
34,40.00226,116.32648600000002,0,138,39952.4087037037,2009-05-19,09:48:32
35,40.002384,116.326398,0,134,39952.4087615741,2009-05-19,09:48:37
36,40.002393,116.32626299999998,0,129,39952.4088194444,2009-05-19,09:48:42
37,40.002423,116.32614699999999,0,126,39952.4088773148,2009-05-19,09:48:47
38,40.002427000000004,116.326006,0,126,39952.4089351852,2009-05-19,09:48:52
39,40.002435,116.325855,0,118,39952.4089930556,2009-05-19,09:48:57
40,40.002434,116.325702,0,119,39952.4090509259,2009-05-19,09:49:02
41,40.002414,116.32555,0,124,39952.4091087963,2009-05-19,09:49:07
42,40.002431,116.325396,0,123,39952.4091666667,2009-05-19,09:49:12
43,40.002491,116.32526499999999,0,124,39952.409224537005,2009-05-19,09:49:17
44,40.00262,116.32524,0,117,39952.4092824074,2009-05-19,09:49:22
45,40.002741,116.325217,0,115,39952.409340277794,2009-05-19,09:49:27
46,40.00287,116.32521499999999,0,108,39952.4093981481,2009-05-19,09:49:32
47,40.002995,116.325195,0,96,39952.409456018504,2009-05-19,09:49:37
48,40.00313,116.32518799999998,0,95,39952.4095138889,2009-05-19,09:49:42
49,40.003265999999996,116.325172,0,96,39952.4095717593,2009-05-19,09:49:47
50,40.0034,116.32516499999998,0,90,39952.4096296296,2009-05-19,09:49:52
51,40.00352,116.325083,0,94,39952.4096875,2009-05-19,09:49:57
52,40.003545,116.324925,0,96,39952.4097453704,2009-05-19,09:50:02
53,40.00354,116.324758,0,102,39952.4098032407,2009-05-19,09:50:07
54,40.003523,116.32458100000001,0,104,39952.4098611111,2009-05-19,09:50:12
55,40.003522,116.324421,0,108,39952.4099189815,2009-05-19,09:50:17
56,40.003606,116.324371,0,109,39952.4099768519,2009-05-19,09:50:22
57,40.003738,116.324371,0,112,39952.410034722205,2009-05-19,09:50:27
58,40.003904999999996,116.324385,0,114,39952.410092592596,2009-05-19,09:50:32
59,40.00412,116.324386,0,108,39952.410150463,2009-05-19,09:50:37
60,40.004369,116.32437900000001,0,90,39952.4102083333,2009-05-19,09:50:42
61,40.004573,116.32438400000001,0,80,39952.410266203704,2009-05-19,09:50:47
62,40.004773,116.32433300000001,0,93,39952.4103240741,2009-05-19,09:50:52
63,40.004943,116.32430500000001,0,93,39952.4103819444,2009-05-19,09:50:57
64,40.005086999999996,116.324294,0,75,39952.4104398148,2009-05-19,09:51:02
