Order,Latitude,Longitude,Unused,Altitude,Days,Date,Time
0,40.123468,116.185426,0,489,39978.2869097222,2009-06-14,06:53:09
1,40.12352,116.185404,0,492,39978.2869675926,2009-06-14,06:53:14
2,40.123611,116.18538500000001,0,492,39978.287025462996,2009-06-14,06:53:19
3,40.123681,116.185379,0,491,39978.2870833333,2009-06-14,06:53:24
4,40.123749,116.18536200000001,0,490,39978.2871412037,2009-06-14,06:53:29
5,40.123785999999996,116.18536399999999,0,490,39978.287199074104,2009-06-14,06:53:34
6,40.12383,116.185367,0,488,39978.2872569444,2009-06-14,06:53:39
7,40.12386,116.185354,0,487,39978.2873148148,2009-06-14,06:53:44
8,40.123940999999995,116.185368,0,485,39978.2873726852,2009-06-14,06:53:49
9,40.123985,116.18535800000001,0,482,39978.2874305556,2009-06-14,06:53:54
10,40.124014,116.185373,0,481,39978.2874884259,2009-06-14,06:53:59
11,40.124055,116.185391,0,479,39978.2875462963,2009-06-14,06:54:04
12,40.124105,116.18538999999998,0,478,39978.2876041667,2009-06-14,06:54:09
13,40.124188000000004,116.18539799999999,0,476,39978.287662037,2009-06-14,06:54:14
14,40.124239,116.18541599999999,0,474,39978.2877199074,2009-06-14,06:54:19
15,40.124313,116.185422,0,471,39978.2877777778,2009-06-14,06:54:24
16,40.124379,116.185422,0,469,39978.2878356481,2009-06-14,06:54:29
17,40.124418,116.18542,0,467,39978.2878935185,2009-06-14,06:54:34
18,40.124468,116.18542099999999,0,464,39978.2879513889,2009-06-14,06:54:39
19,40.124516,116.18543600000001,0,463,39978.288009259304,2009-06-14,06:54:44
20,40.12457,116.185456,0,463,39978.2880671296,2009-06-14,06:54:49
21,40.124635,116.185446,0,461,39978.288125,2009-06-14,06:54:54
22,40.124691,116.18544399999999,0,459,39978.2881828704,2009-06-14,06:54:59
23,40.124735,116.18544299999999,0,457,39978.2882407407,2009-06-14,06:55:04
24,40.124753999999996,116.185448,0,455,39978.2882986111,2009-06-14,06:55:09
25,40.124818,116.18544299999999,0,453,39978.2883564815,2009-06-14,06:55:14
26,40.124863,116.18545300000001,0,452,39978.2884143519,2009-06-14,06:55:19
27,40.124918,116.18545400000001,0,450,39978.2884722222,2009-06-14,06:55:24
28,40.124986,116.185446,0,449,39978.2885300926,2009-06-14,06:55:29
29,40.125019,116.18543500000001,0,447,39978.288587963,2009-06-14,06:55:34
30,40.12502,116.185425,0,446,39978.2886226852,2009-06-14,06:55:37
31,40.125043,116.18543899999999,0,444,39978.2886805556,2009-06-14,06:55:42
32,40.125034,116.18538999999998,0,444,39978.2887384259,2009-06-14,06:55:47
33,40.125014,116.18539299999999,0,445,39978.2887962963,2009-06-14,06:55:52
